Name,Operator,Location,District,State,Sector,Region,Units,Capacity(MW),Coordinates
Vindhyachal Super Thermal Power Station,NTPC,Vindhya Nagar,Singrauli,Madhya Pradesh,Central,Western,"6 x 210, 7x 500",4760,24°05′53″N 82°40′18″E﻿ / ﻿24.09806°N 82.67167°E
Mundra Thermal Power Station,Adani Power,Mundra,Kutch,Gujarat,Private,Western,"4 x 330, 5 X 660",4620,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E
Mundra Ultra Mega Power Project,Tata Power,Mundra,Kutch,Gujarat,Private,Western,5 X 800,4000,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E
Sasan Ultra Mega Power Project,Reliance Power,Sasan,Singrauli,Madhya Pradesh,Private,Western,6 x 660,3960,
KSK Mahanadi Power Project,KSK Energy Ventures Limited,Nariyara,Janjgir–Champa district,Chhattisgarh,Private,Western,6 X 600,3600,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E
Jindal Megha Power Plant,Jindal,Tamnar,Raigarh,Chhattisgarh,Private,Western,"4 x 250, 4 x 600",3400,22°06′16″N 83°27′04″E﻿ / ﻿22.10444°N 83.45111°E
Chandrapur Super Thermal Power Station,MAHAGENCO,Urjanagar,Chandrapur,Maharashtra,State,Western,"2 x 210$, 4 x 210, 5 x 500",3340,20°00′24″N 79°17′21″E﻿ / ﻿20.00667°N 79.28917°E
Tirora Thermal Power Station[24],Adani Power,Tirora,Gondia,Maharashtra,Private,Western,5 X 660,3300,21°24′58″N 79°58′3″E﻿ / ﻿21.41611°N 79.96750°E
Sipat Thermal Power Plant,NTPC,Sipat,Bilaspur,Chhattisgarh,Central,Western,"2 x 500,3 x 660",2980,22°07′57″N 82°17′24″E﻿ / ﻿22.13250°N 82.29000°E
Korba Super Thermal Power Plant,NTPC,Jamani Palli,Korba,Chhattisgarh,Central,Western,"3 x 200, 4 x 500",2600,22°23′11″N 82°40′58″E﻿ / ﻿22.38639°N 82.68278°E
Sant Singaji Thermal Power Plant,MPPGC,"Dogaliya, Mundi",khandwa,Madhya Pradesh,State,Western,"2 X 600, 2 X 660",2520,
Wanakbori Thermal Power Station,GSECL,Wanakbori,Kheda,Gujarat,State,Western,"7 x 210, 1 × 800",2270,22°52′39″N 73°21′35″E﻿ / ﻿22.87750°N 73.35972°E
Dada Dhuniwale Thermal Power Plant,MPPGC,"Guyda, Mundi",khandwa,Madhya Pradesh,State,Western,2 X 800,1600,
Bhusawal Thermal Power Station,MAHAGENCO,Deepnagar,Jalgaon,Maharashtra,State,Western,"2 x 210$, 2 x 500",1000,21°02′57″N 75°50′32″E﻿ / ﻿21.04917°N 75.84222°E
Trombay Thermal Power Station,Tata,Trombay,Mumbai,Maharashtra,Private,Western,"1 x 150$, 2 x 500, 1 x 250",1250,19°00′09″N 72°53′54″E﻿ / ﻿19.00250°N 72.89833°E
Amravati Thermal Power Plant,Indiabulls,Nandgaonpeth,Amravati,Maharashtra,Private,Western,"5 X 270, (5 X 270[25])",1350,21°04′49″N 77°54′06″E﻿ / ﻿21.08028°N 77.90167°E
Khaperkheda Thermal Power Station,MAHAGENCO,Kaparkheda,Nagpur,Maharashtra,State,Western,"4 x 210, 1 x 500",1340,21°16′55″N 79°06′54″E﻿ / ﻿21.28194°N 79.11500°E
