Station,Operator,District,State,Region,Generatorunits,Capacity(MW),Under Construction[43](MW),Coordinates
AD Hydro Power Ltd.,ADHPL,Kullu,Himachal Pradesh,Northern,2 x 96,192,-,
Tehri Dam,THDC,,Uttarakhand,Northern,"4 x 250, 4 x 250#",1000,1000#,30°22′40″N 78°28′50″E﻿ / ﻿30.37778°N 78.48056°E
Koteshwar Dam,THDC,,Uttarakhand,Northern,4 x 100,400,,30°22′40″N 78°28′50″E﻿ / ﻿30.37778°N 78.48056°E
Baspa-II,JHPL,,Himachal Pradesh,Northern,3 x 100,300,-,
Karcham Wangtoo Hydroelectric Plant,JHPL,Kinnaur,Himachal Pradesh,Northern,4 x 250,1000,-,31°32′35.53″N 78°00′54.80″E﻿ / ﻿31.5432028°N 78.0152222°E
Nathpa Jhakri,SJVNL,,Himachal Pradesh,Northern,6 x 250,1500,-,31°33′50″N 77°58′49″E﻿ / ﻿31.56389°N 77.98028°E
Dehar Power House,BBMB,Mandi,Himachal Pradesh,Northern,6 x 165,990,-,31°24′47″N 76°52′06″E﻿ / ﻿31.41306°N 76.86833°E
Pong,BBMB,,Himachal Pradesh,Northern,6 x 66,396,-,31°58′17″N 75°56′48″E﻿ / ﻿31.97139°N 75.94667°E
Bhakra Dam,BBMB,,Punjab,Northern,"2 x 108, 3 x 126, 5 x 157",1379,-,31°24′39″N 76°26′0″E﻿ / ﻿31.41083°N 76.43333°E
Chamera Dam,NHPC,Chamba,Himachal Pradesh,Northern,"3 x 180, 3 x 100, 3 x 77",1071,-,32°35′50″N 75°59′09″E﻿ / ﻿32.59722°N 75.98583°E
Salal Hydroelectric Power Station,NHPC,Udhampur,Jammu and Kashmir,Northern,6 x 115,690,-,33°8′26″N 74°48′27″E﻿ / ﻿33.14056°N 74.80750°E
Uri Hydroelectric Project,NHPC,Baramulla,Jammu and Kashmir,Northern,"4 x 120, 4 x 60",480,240,34°08′40″N 74°11′08″E﻿ / ﻿34.14444°N 74.18556°E
Dulhasti,NHPC,Doda,Jammu and Kashmir,Northern,3 x 130,390,-,
Dhauliganga-I,NHPC,Pithoragarh,Uttarakhand,Northern,4 x 70,280,-,29°58′N 80°37′E﻿ / ﻿29.967°N 80.617°E
Baira Suil,NHPC,Chamba,Himachal Pradesh,Northern,3 x 60,180,-,
Tanakpur,NHPC,Champawat,Uttarakhand,Northern,3 x 40,120,-,27°21′N 81°23′E﻿ / ﻿27.350°N 81.383°E
Sewa,NHPC,Kathua,Jammu and Kashmir,Northern,3 x 40,120,-,
Nimmo-Bazgo,NHPC,Leh,Ladakh,Northern,3 x 15,45,-,
Chutak,NHPC,Kargil,Ladakh,Northern,4 x 11,44,-,
Parbati Hydroelectric Project,NHPC,Kullu,Himachal Pradesh,Northern,"4 x 200, 4 x 130",-,1320,
Kishanganga Hydroelectric Project,NHPC,Baramulla,Jammu and Kashmir,Northern,3 x 110,330,,34°38′51″N 74°45′53″E﻿ / ﻿34.64750°N 74.76472°E
Northern,,,,19,106,11261,2560,
Srisailam Dam,"APGenco, TSGENCO",,"Andhra Pradesh, Telangana",Southern,"6 x 150#, 7 x 110",1670,-,16°05′13″N 78°53′50″E﻿ / ﻿16.08694°N 78.89722°E
Sharavathi,KPCL,,Karnataka,Southern,"10 x 103.5, 2 x 27.5, 4 x 60, 4 x 13.2, 4 x 21.6",1608.2,-,14°14′06″N 74°46′02″E﻿ / ﻿14.23500°N 74.76722°E
Kalinadi,KPCL,,Karnataka,Southern,"2 x 50, 1 x 135, 5 x 150, 3 x 50, 3 x 40",1240,-,14°50′32″N 74°07′23″E﻿ / ﻿14.84222°N 74.12306°E
Varahi,KPCL,,Karnataka,Southern,"4 x 115, 2 x 4.5, 5 x 7.5",506.5,-,13°42′09″N 74°59′56″E﻿ / ﻿13.70250°N 74.99889°E
Nagarjuna Sagar,TSGENCO,,TS,Southern,"1 x 110, 7 x 100.8#, 2 x 30",875,-,16°36′N 79°20′E﻿ / ﻿16.600°N 79.333°E
Nagarjuna Sagar Right Bank PH,APGenco,,AP,Southern,3 x 30,90,-,16°36′N 79°20′E﻿ / ﻿16.600°N 79.333°E
Nagarjuna Sagar tail pond PH,APGenco,,AP,Southern,2 x 25,50,,16°37′N 79°29′E﻿ / ﻿16.617°N 79.483°E
Idukki,KSEB,,Kerala,Southern,6 x 130,780,-,9°51′01″N 76°58′01″E﻿ / ﻿9.85028°N 76.96694°E
Mettur Dam,TNEB,,Tamil Nadu,Southern,4 x 50,240,-,11°48′00″N 77°48′00″E﻿ / ﻿11.80000°N 77.80000°E
Lower Mettur Barrage,TNEB,,Tamil Nadu,Southern,8 x 15,120,-,
Bhavani Kattalai Barrage,TNEB,,Tamil Nadu,Southern,4 x 15,60,-,
