State/UTs - (Capacity in MW),Solar Power (MW),Target for Solar Power - (Capacity in MW)
Delhi,124.21,2762
Haryana,217.09,4142
Himachal Pradesh,3.89,776
Jammu & Kashmir,9.85,1155
Punjab,905.62,4772
Rajasthan,3130.99,5762
Uttar Pradesh,891.01,10697
Uttarakhand,303.18,900
Chandigarh,32.4,153
Goa,1.69,358
Gujarat,1827.38,8020
Chhattisgarh,231.35,1783
Madhya Pradesh,1586.25,5675
Maharashtra,1607.79,11926
D. & N. Haveli,5.46,449
Daman & Diu,13.38,199
Andhra Pradesh & Telangana,6052.02,9834
Karnataka,5255.11,5697
Kerala,138.49,1870
Tamil Nadu,2228.44,8884
Puducherry,1.73,246
Bihar,142.45,2493
Jharkhand,32.41,1995
Odisha,389.4,2377
West Bengal,42.32,5336
Sikkim,0.01,36
Assam,16.68,663
Manipur,2.59,105
Meghalaya,0.08,161
Nagaland,1,61
Tripura,5.09,105
Arunachal Pradesh,5.39,39
Mizoram,0.2,72
Andaman & Nicobar Islands,6.56,27
Lakshadweep,0.75,4
