Power Plant,Location,State,Total Capacity (MWe),Coordinates
Muppandal Wind Farm,Muppandal,Tamil Nadu,1500,8°15′0″N 77°35′24″E / 8.25°N 77.59°E
Brahmanvel,Brahmanvel,Maharashtra,528,"21°09'22.0""N 74°12'41.3""E / 21.156100°N 74.211471°E"
"Vankusawade Wind Park, Vankusawade, Tal:Patan",Satara Dist.,Maharashtra,259,"17°29'30.6""N 73°49'50.2""E / 17.491838°N 73.830615°E"
Sipla,Jaisalmer,Rajasthan,102,"26°43'07.6""N 70°40'45.1""E / 26.718786°N 70.679200°E"
Saeame,Jamnagar,Gujarat,101,"22°28'24.6""N 70°03'19.1""E / 22.473497°N 70.055293°E"
Damanjodi Wind Power Plant,Damanjodi,Odisha,99,"18°46'22.3""N 82°54'56.8""E / 18.772854°N 82.915766°E"
Theni,,Tamil Nadu,99,9.9696643°N 77.4742005°E / 9.9696643°N 77.4742005°E
Saundatti,Belgaum,Karnataka,84,16.33333°N 74.75°E / 16.33333°N 74.75°E
Khandke,Ahmednagar,Maharashtra,50,19.1627725°N 74.8580243°E / 19.1627725°N 74.8580243°E
Narmada,Nallakonda,Andhra Pradesh,50,17.4385266°N 81.8831603°E / 17.4385266°N 81.8831603°E
Harapanahalli,Davanagere,Karnataka,40,14.4664457°N 75.9197508°E / 14.4664457°N 75.9197508°E
Nuziveedu Seeds,Bhimasamudra,Karnataka,50.4,14.7492368°N 76.5062541°E / 14.7492368°N 76.5062541°E
Kayathar Subhash,Kayathar,Tamil Nadu,30,8.9480919°N 77.7722884°E / 8.9480919°N 77.7722884°E
Ramakkalmedu,Ramakkalmedu,Kerala,25,9.8116993°N 77.2443676°E / 9.8116993°N 77.2443676°E
Gudimangalam,Gudimangalam,Tamil Nadu,21,10.69432°N 77.28024°E / 10.69432°N 77.28024°E
